"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.202357775E0	3.606094122E-1	8.071861267E-1	5.254187584E-1	1.028422804E0
2.212367390E0	7.147736549E-1	6.455593109E-1	7.188706398E-1	1.201841586E0
2.222377159E0	7.748687267E-1	5.626611710E-1	9.283032417E-1	1.333700133E0
2.232356313E0	6.054173708E-1	4.641027451E-1	1.096313477E0	1.335599038E0
2.242366159E0	3.265620470E-1	3.124938011E-1	1.292621136E0	1.369366476E0
2.252375929E0	-1.552833319E-1	2.295665741E-1	1.453938961E0	1.480118991E0
2.262355082E0	-5.972406864E-1	1.925811768E-1	1.473137379E0	1.601223808E0
2.272364929E0	-9.131101370E-1	1.726961136E-1	1.419789314E0	1.696878242E0
2.282374775E0	-1.084230065E0	1.553649902E-1	1.412598610E0	1.787492083E0
2.292384544E0	-1.111200452E0	8.138847351E-2	1.434983253E0	1.816746396E0
2.302363698E0	-1.079689264E0	2.046823502E-2	1.673872948E0	1.991983559E0
2.312373467E0	-1.184353709E0	5.645608902E-2	1.911231995E0	2.249152893E0
2.322383313E0	-1.468413353E0	1.884956360E-1	1.977577686E0	2.470340439E0
2.332362467E0	-1.700708270E0	3.822469711E-1	1.575290680E0	2.349481239E0
2.342372236E0	-1.614376187E0	5.453314781E-1	8.406949043E-1	1.900096002E0
2.352382083E0	-1.087603927E0	6.341719627E-1	-1.789016724E-1	1.271637601E0
2.362361236E0	-2.181938887E-1	6.010851860E-1	-1.016286850E0	1.200729335E0
2.372371083E0	8.406655192E-1	3.956947327E-1	-1.092058182E0	1.433835384E0
2.382380852E0	1.680538654E0	2.118968964E-2	-4.074559212E-1	1.729358118E0
2.392360006E0	2.052093506E0	-4.677233696E-1	7.684030533E-1	2.240601741E0
2.402369852E0	1.706724763E0	-1.023728371E0	2.427333832E0	3.138929551E0
2.412379621E0	7.683885098E-1	-1.474988937E0	3.344513416E0	3.735208596E0
2.422358775E0	-4.859074950E-1	-1.458406925E0	3.654457092E0	3.964607609E0
2.432368621E0	-1.734477282E0	-1.127165318E0	3.789032459E0	4.316906308E0
2.442378390E0	-2.398294926E0	-9.191226959E-1	3.521626472E0	4.358722071E0
2.452357544E0	-2.350107431E0	-8.872470856E-1	3.347782135E0	4.185433974E0
2.462367391E0	-2.040848970E0	-8.949284554E-1	3.292000771E0	3.975327727E0
2.472377160E0	-1.589586258E0	-8.907880783E-1	3.226483345E0	3.705466590E0
2.482356314E0	-1.019388795E0	-8.059787750E-1	3.017084122E0	3.285049756E0
2.492366160E0	-4.529013336E-1	-7.903685570E-1	2.712596893E0	2.861465355E0
2.502375929E0	1.252382994E-1	-8.501973152E-1	2.284913063E0	2.441177546E0
2.512355314E0	6.262229085E-1	-9.581437111E-1	1.751329422E0	2.092211568E0
2.522364929E0	8.130147457E-1	-1.019385815E0	8.918113708E-1	1.579705016E0
2.532374698E0	5.202494860E-1	-1.016178608E0	8.804893494E-2	1.145002666E0
2.542384545E0	-7.015335560E-2	-9.880452156E-1	-5.861320496E-1	1.150958566E0
2.552363698E0	-8.409448862E-1	-1.012416363E0	-1.001433849E0	1.653797130E0
2.562373468E0	-1.434437752E0	-1.122405529E0	-1.127169132E0	2.141942130E0
2.572383314E0	-1.879126787E0	-1.240961552E0	-1.049373627E0	2.484408997E0
2.582362468E0	-2.092734098E0	-1.278955460E0	-8.524622917E-1	2.596527495E0
2.592372314E0	-2.146352530E0	-1.259618759E0	-6.662540436E-1	2.576308027E0
2.602382083E0	-2.016532660E0	-1.188766479E0	-5.510501862E-1	2.404833886E0
2.612361237E0	-1.764922857E0	-1.098074436E0	-5.406284332E-1	2.147789390E0
2.622371083E0	-1.503347635E0	-9.782543182E-1	-6.904621124E-1	1.921919237E0
2.632380852E0	-1.125913382E0	-8.500881195E-1	-1.025510788E0	1.744133920E0
2.642360006E0	-8.873453736E-1	-7.364912033E-1	-1.469587803E0	1.868017509E0
2.652369853E0	-7.520738244E-1	-6.968984604E-1	-1.821386337E0	2.090150878E0
2.662379622E0	-6.730738282E-1	-6.415109634E-1	-2.148325920E0	2.340911992E0
2.672358776E0	-7.039271593E-1	-5.306687355E-1	-2.333452702E0	2.494418622E0
2.682368622E0	-7.446594238E-1	-4.934301376E-1	-2.234611034E0	2.406548864E0
2.692378391E0	-6.847764254E-1	-5.417103767E-1	-1.796645164E0	1.997574212E0
2.702357545E0	-5.793923140E-1	-6.287970543E-1	-1.440256119E0	1.674938470E0
2.712367391E0	-5.570651293E-1	-6.246747971E-1	-1.018752098E0	1.318482460E0
2.722377160E0	-7.790583968E-1	-5.380091667E-1	-7.856745720E-1	1.230313124E0
2.732356314E0	-1.146549940E0	-4.479689598E-1	-6.861743927E-1	1.409286433E0
2.742366160E0	-1.547641516E0	-3.390059471E-1	-5.677752495E-1	1.682999711E0
2.752375930E0	-1.840279937E0	-2.927503586E-1	-4.079780579E-1	1.907558417E0
2.762355314E0	-1.834582806E0	-3.488159180E-1	-1.444058418E-1	1.873024202E0
2.772364930E0	-1.604999900E0	-4.271178246E-1	2.896356583E-1	1.685925007E0
2.782374699E0	-1.201651454E0	-5.821213722E-1	9.343447685E-1	1.629672254E0
2.792384545E0	-7.441467047E-1	-7.115306854E-1	1.375809193E0	1.718394940E0
2.802363699E0	-3.338528275E-1	-7.881202698E-1	1.614842892E0	1.827651180E0
2.812373545E0	-6.912910938E-2	-8.897943497E-1	1.642416477E0	1.869236396E0
2.822383314E0	1.513638496E-1	-9.526734352E-1	1.434531689E0	1.728692817E0
