"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.252000313E0,-6.494855881E-2,-1.752235889E0,3.912181854E-1,1.796552420E0
1.261979467E0,7.217555046E-1,-1.888012886E0,7.412447929E-1,2.152897468E0
1.271989313E0,1.225900650E0,-2.141210079E0,1.379523754E0,2.826782410E0
1.281999082E0,1.485275745E0,-2.313614368E0,1.592548370E0,3.177273327E0
1.292008928E0,1.656676292E0,-2.402024269E0,1.481322765E0,3.272401880E0
1.301988005E0,1.028758049E0,-2.204975605E0,1.646865368E0,2.938099059E0
1.311997851E0,1.571321487E-1,-1.702014923E0,1.011809826E0,1.986279042E0
1.322007467E0,-1.154596210E0,-1.028507233E0,1.936869621E-1,1.558343407E0
1.331986851E0,-2.005195141E0,-4.194002151E-1,1.575255394E-1,2.054633395E0
1.341996621E0,-1.978717089E0,-1.883897781E-1,1.165740013E0,2.304292040E0
1.352006236E0,-1.255231857E0,-5.046668053E-1,1.899700403E0,2.332200082E0
1.361985621E0,-7.634170055E-1,-7.557444572E-1,2.003023148E0,2.272896157E0
1.371995390E0,-9.059309959E-1,-5.085468292E-1,2.176655531E0,2.411878966E0
1.382005005E0,-1.151189566E0,-2.687811852E-1,2.156571865E0,2.459325711E0
1.391984390E0,-1.386565208E0,-2.124314308E-1,2.312189341E0,2.704424104E0
1.401994236E0,-1.539594769E0,-5.201673508E-2,2.391600132E0,2.844786281E0
1.412004006E0,-1.143432140E0,-1.656184196E-1,2.398071289E0,2.661881370E0
1.421983159E0,-6.177690029E-1,-3.055357933E-1,2.205027103E0,2.310224056E0
1.431992929E0,-2.651965618E-1,-2.449455261E-1,1.946771383E0,1.979961198E0
1.442002544E0,1.319081783E-1,-2.067060471E-1,1.136547089E0,1.162697915E0
1.451981929E0,-4.143202305E-1,-3.956351280E-1,7.747247219E-1,9.635283092E-1
1.461991698E0,-9.570181370E-1,-7.208027840E-1,6.311364174E-1,1.354168950E0
